dim_product_eurocategory_desc,dim_period_year_desc,dim_market_channel_desc,dim_product_super_group_desc,dim_roi_range_desc,value,baseline_value,trade_spend_total,trade_spend_incl_cogs,number_of_tpr_weeks,number_of_display_weeks,number_of_feature_weeks,number_of_event_weeks,mfr_roi_value,trade_direct_promo_spend,number_of_weeks,number_of_records,PPI,BP,FEDI,DISO,FEAO
ACNE REMEDIES,2015,Hyper+Super Markets,HBA,<0,122.372,160.05,13.48793721,-6.91121574,3,0,0,3,-30.76597656,20.39915295,3,3,-0.740832606,-0.542094871,1.312040363,0.119168687,0.145510627
ACNE REMEDIES,2015,Hyper+Super Markets,HBA,>1,95304.283,49359.521,31157.37755,15568.77595,1619,12,36,1624,7764.56233,15588.6016,1624,799,-0.740832606,-0.542094871,1.312040363,0.119168687,0.145510627
ADULT INCONTINENCE,2013,Hyper+Super Markets,PAPER PROD.,,46900818.35,42972318.85,1120679.852,1120679.852,0,0,0,0,0,0,321201,5063,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADULT INCONTINENCE,2013,Hyper+Super Markets,PAPER PROD.,0-1,4401354.848,3970984.925,1110827.27,302013.6088,11752,1115,2458,11872,-355793.2477,808813.6609,11872,4949,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADULT INCONTINENCE,2013,Hyper+Super Markets,PAPER PROD.,<0,39936.333,47428.711,4468.769426,-907.4336188,192,33,49,246,-6737.353473,5376.203045,246,239,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADULT INCONTINENCE,2013,Hyper+Super Markets,PAPER PROD.,>1,1706955.313,521913.688,689697.7919,384192.1333,12010,1273,2875,12191,270782.5413,305505.6586,12191,4775,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADULT INCONTINENCE,2014,Hyper+Super Markets,PAPER PROD.,,48936493.65,45394425.83,1033303.034,1033303.034,0,0,0,0,0,0,322971,4794,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADULT INCONTINENCE,2014,Hyper+Super Markets,PAPER PROD.,0-1,4678178.654,4223836.005,1140105.424,311836.9321,12245,822,1703,12323,-360513.0938,828268.4919,12323,4822,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADULT INCONTINENCE,2014,Hyper+Super Markets,PAPER PROD.,<0,25009.493,30720.07,2570.452055,-834.0694879,155,19,26,193,-4655.625774,3404.521542,193,183,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADULT INCONTINENCE,2014,Hyper+Super Markets,PAPER PROD.,>1,1785097.23,534503.186,702983.1782,399136.6996,11726,1034,2395,11870,294858.5707,303846.4786,11870,4400,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
