dim_product_eurocategory_desc,dim_period_year_desc,dim_market_channel_desc,dim_product_super_group_desc,dim_roi_range_desc,value,baseline_value,trade_spend_total,trade_spend_incl_cogs,number_of_tpr_weeks,number_of_display_weeks,number_of_feature_weeks,number_of_event_weeks,mfr_roi_value,trade_direct_promo_spend,number_of_weeks,number_of_records,PPI,BP,FEDI,DISO,FEAO
CAKE/DESSERTS FROZEN,2015,Hyper+Super Markets,FOOD - FROZEN,,13624645.08,13588218.6,39505.93832,39505.93832,0,0,0,0,0,0,157173,4076,-1.97597705,-3.572619213,0.498260347,0.233740048,0.201295936
CAKE/DESSERTS FROZEN,2015,Hyper+Super Markets,FOOD - FROZEN,0-1,1481882.726,1226099.274,451509.2797,144266.0872,6399,518,646,6475,-90844.06172,307243.1925,6475,3138,-1.97597705,-3.572619213,0.498260347,0.233740048,0.201295936
CAKE/DESSERTS FROZEN,2015,Hyper+Super Markets,FOOD - FROZEN,<0,6226.687,7499.964,797.827177,-147.6714275,54,5,8,64,-1167.005746,945.4986045,64,63,-1.97597705,-3.572619213,0.498260347,0.233740048,0.201295936
CAKE/DESSERTS FROZEN,2015,Hyper+Super Markets,FOOD - FROZEN,>1,1829240.274,812670.373,863442.8502,391909.3398,6631,884,1310,6707,116330.4992,471533.5104,6707,3673,-1.97597705,-3.572619213,0.498260347,0.233740048,0.201295936
CANDIES,2013,Hyper+Super Markets,CONFECTIONERY & SNACKS,,238264576,237333666,636942.3493,636942.3493,0,0,0,0,0,0,3954111,55297,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2013,Hyper+Super Markets,CONFECTIONERY & SNACKS,0-1,18478971.31,14837646.91,6505428.675,2134799.307,116367,10330,17343,117487,-1168430.406,4370629.367,117487,51466,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2013,Hyper+Super Markets,CONFECTIONERY & SNACKS,<0,99535.396,128477.057,12146.58542,-4171.701026,1307,176,151,1549,-22575.83798,16318.28644,1549,1488,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2013,Hyper+Super Markets,CONFECTIONERY & SNACKS,>1,11942373.01,5954589.404,5087429.589,2299983.773,76740,10285,13993,77757,662529.8425,2787445.817,77757,38307,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2014,Hyper+Super Markets,CONFECTIONERY & SNACKS,,249275164.3,248245384.1,729382.3153,729382.3153,0,0,0,0,0,0,4105856,58397,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2014,Hyper+Super Markets,CONFECTIONERY & SNACKS,0-1,21964026.5,17918677.93,7597611.218,2444806.135,141203,11871,18271,142309,-1485595.88,5152805.083,142309,56859,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2014,Hyper+Super Markets,CONFECTIONERY & SNACKS,<0,135505.029,170659.631,15429.61314,-4933.610964,1376,235,194,1692,-27763.64055,20363.22411,1692,1621,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2014,Hyper+Super Markets,CONFECTIONERY & SNACKS,>1,14024694.99,6752836.199,6009144.165,2753656.561,87699,12290,14184,88714,874997.2378,3255487.604,88714,41051,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2015,Hyper+Super Markets,CONFECTIONERY & SNACKS,,257235950,256195390.4,768357.9097,768357.9097,0,0,0,0,0,0,4301491,62203,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2015,Hyper+Super Markets,CONFECTIONERY & SNACKS,0-1,22698543.39,18639919.54,7656549.751,2456508.896,147820,13206,16450,149116,-1515277.511,5200040.855,149116,58383,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2015,Hyper+Super Markets,CONFECTIONERY & SNACKS,<0,145748.866,188198.448,16138.23567,-6403.613676,1316,269,191,1664,-32147.26986,22541.84935,1664,1584,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANDIES,2015,Hyper+Super Markets,CONFECTIONERY & SNACKS,>1,14510805.82,7000677.813,6079331.459,2806357.763,91436,12901,13511,92628,936562.9479,3272973.696,92628,41919,-1.573292998,-1.032565363,0.44850599,0.223801123,0.178233085
CANNED FRUIT,2013,Hyper+Super Markets,FOOD - AMBIENT,,27216875.16,27144881.27,61851.97155,61851.97155,0,0,0,0,0,0,362435,6467,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2013,Hyper+Super Markets,FOOD - AMBIENT,0-1,2268111.881,1714745.36,894284.0245,307280.0176,9725,550,966,9789,-126083.9804,587004.0069,9789,4737,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2013,Hyper+Super Markets,FOOD - AMBIENT,<0,8732.359,11003.379,991.1468951,-328.8963816,59,5,5,64,-1813.387849,1320.043277,64,62,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2013,Hyper+Super Markets,FOOD - AMBIENT,>1,2921218.418,1117334.647,1621329.464,727527.8476,8975,954,1383,9027,197490.1545,893801.6169,9027,4902,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2014,Hyper+Super Markets,FOOD - AMBIENT,,25976855.14,25958725.54,50977.43927,50977.43927,0,0,0,0,0,0,367855,6909,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2014,Hyper+Super Markets,FOOD - AMBIENT,0-1,2585378.255,2124687.36,818775.1452,262274.1859,12783,429,948,12834,-163089.6803,556500.9592,12834,5382,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2014,Hyper+Super Markets,FOOD - AMBIENT,<0,8949.718,11227.987,1053.225459,-320.7956622,77,14,9,97,-1855.214615,1374.021122,97,93,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2014,Hyper+Super Markets,FOOD - AMBIENT,>1,3149875.539,1259008.058,1636782.192,743081.9298,10338,847,1414,10403,220922.6325,893700.2621,10403,5249,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2015,Hyper+Super Markets,FOOD - AMBIENT,,26932504.3,26925949.99,52017.40668,52017.40668,0,0,0,0,0,0,358647,6653,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2015,Hyper+Super Markets,FOOD - AMBIENT,0-1,2655526.161,2160254.573,861576.054,281477.6603,12399,490,784,12435,-157881.9034,580098.3938,12435,5044,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2015,Hyper+Super Markets,FOOD - AMBIENT,<0,3426.598,4214.329,398.9935622,-114.5695265,57,6,9,67,-685.4173785,513.5630887,67,67,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CANNED FRUIT,2015,Hyper+Super Markets,FOOD - AMBIENT,>1,2868228.023,1190914.629,1454085.011,659392.6351,10288,858,1334,10336,194396.5763,794692.3763,10336,5131,-2.307991735,-1.65258294,0.382218582,0.322226898,0.202059897
CARBONATED SOFT DRINKS,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,,540575490.7,496968336.1,12590337.35,12590337.35,0,0,0,0,0,0,2071615,41710,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,0-1,68580185.56,52609767.09,24938153.84,8468461.771,107186,24047,28197,108674,-3766999.416,16469692.07,108674,50770,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,<0,836469.139,1175627.181,75149.73941,-63545.41556,1362,298,268,1702,-234013.2783,138695.155,1702,1630,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,>1,134103094.9,52436946.44,66830617.45,30905409.49,116064,36858,40269,117466,10432906.27,35925207.96,117466,53306,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,,522597881,482147306.8,11802154.14,11802154.14,0,0,0,0,0,0,2126099,42455,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,0-1,74648795.35,58349794.48,25614502.07,8586528.701,123567,26193,29245,125012,-4148180.319,17027973.37,125012,55186,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,<0,954730.648,1265811.703,110327.8887,-52231.42358,1570,378,304,1995,-240906.4476,162559.3123,1995,1885,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,>1,134571269.9,54493760.6,64692797.47,29991398.44,124448,38978,41350,125749,10285698.63,34701399.03,125749,55219,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,,527684739.7,512972425.2,5251426.218,5251426.218,0,0,0,0,0,0,2236019,44844,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,0-1,82330982.41,65349826.12,27915325.84,9181828.337,129422,28012,29306,130985,-4960754.995,18733497.5,130985,56253,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,<0,920264.142,1216834.571,114229.1808,-46527.53051,1607,438,298,2064,-230548.0071,160756.7114,2064,1960,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CARBONATED SOFT DRINKS,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,>1,139554364.7,54954193.85,69038442.14,31897271.1,117619,37013,39089,119073,10704735.6,37141171.05,119073,54140,-2.659797574,-1.722936752,0.332942516,0.176785789,0.206777717
CAT FOOD,2013,Hyper+Super Markets,PET FOOD,,322785863.8,321787355.7,1041076.599,1041076.599,0,0,0,0,0,0,3995493,68579,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2013,Hyper+Super Markets,PET FOOD,0-1,48884924.04,37682705.75,17755697.76,6067960.041,230061,24718,52915,232378,-2585797.657,11687737.72,232378,98102,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2013,Hyper+Super Markets,PET FOOD,<0,177813.212,222139.315,21025.28932,-6131.002961,1980,304,329,2406,-36352.79672,27156.29228,2406,2341,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2013,Hyper+Super Markets,PET FOOD,>1,56975786.97,26635070.26,26426070.98,11836077.71,240381,40475,76783,242512,3164123.298,14589993.27,242512,107451,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2014,Hyper+Super Markets,PET FOOD,,333429830.9,332767736.6,1099948.538,1099948.538,0,0,0,0,0,0,4243228,75485,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2014,Hyper+Super Markets,PET FOOD,0-1,55254313.75,43481601.1,19332724.36,6495947.663,268044,26150,50424,270343,-3092855.197,12836776.69,270343,107060,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2014,Hyper+Super Markets,PET FOOD,<0,199589.351,248370.01,22265.41498,-6871.840304,2146,345,417,2675,-39445.01574,29137.25529,2675,2589,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2014,Hyper+Super Markets,PET FOOD,>1,61255573.78,28499170.08,28896960.82,12900059.56,271875,45501,79345,274203,3353188.096,15996901.25,274203,116387,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2015,Hyper+Super Markets,PET FOOD,,344584821.5,342202942.8,1582813.129,1582813.129,0,0,0,0,0,0,4547359,83222,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2015,Hyper+Super Markets,PET FOOD,0-1,63880294.41,51222325.19,20590866.44,6845922.426,301228,27985,59214,303538,-3476060.374,13744944.01,303538,115007,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2015,Hyper+Super Markets,PET FOOD,<0,223735.818,266958.345,26951.12363,-5157.708694,1868,331,414,2405,-39845.39537,32108.83233,2405,2356,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CAT FOOD,2015,Hyper+Super Markets,PET FOOD,>1,63269000.91,29678761.94,29401168.49,13147358.05,288609,48873,86073,291235,3467226.635,16253810.44,291235,119670,-2.47952101,-1.767856197,0.38903123,0.241948654,0.193702724
CEREALS,2013,Hyper+Super Markets,FOOD - AMBIENT,,200975363.2,199532306.8,855115.8222,855115.8222,0,0,0,0,0,0,1353955,22769,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2013,Hyper+Super Markets,FOOD - AMBIENT,0-1,23701905.5,17657384.54,9620356.648,3339212.02,54215,7837,11849,54771,-1272326.597,6281144.627,54771,24813,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2013,Hyper+Super Markets,FOOD - AMBIENT,<0,161926.933,246813.63,9199.44084,-16679.90071,492,65,75,587,-50899.19262,25879.34155,587,554,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2013,Hyper+Super Markets,FOOD - AMBIENT,>1,42273229.2,17252166.56,22015904.63,9905577.806,66319,17359,23192,66857,2748039.883,12110326.83,66857,30802,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2014,Hyper+Super Markets,FOOD - AMBIENT,,194489991.5,191333291.5,1337418.641,1337418.641,0,0,0,0,0,0,1387510,22685,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2014,Hyper+Super Markets,FOOD - AMBIENT,0-1,26781966.51,20442187.54,10142863.34,3477644.295,64873,8301,11577,65378,-1448752.605,6665219.048,65378,26717,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2014,Hyper+Super Markets,FOOD - AMBIENT,<0,159646.975,229299.533,13328.75183,-12648.3104,542,98,84,662,-44949.52782,25977.06223,662,618,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2014,Hyper+Super Markets,FOOD - AMBIENT,>1,43905356.04,17700711.26,23043589.58,10398339.97,67965,16963,22398,68483,2952260.36,12645249.6,68483,31226,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2015,Hyper+Super Markets,FOOD - AMBIENT,,190409319.6,184742240.8,1986285.609,1986285.609,0,0,0,0,0,0,1395254,24800,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2015,Hyper+Super Markets,FOOD - AMBIENT,0-1,24996381.9,19327100.14,8957947.818,3048548.522,64180,8514,11810,64739,-1336576.512,5909399.295,64739,26894,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2015,Hyper+Super Markets,FOOD - AMBIENT,<0,254686.677,372824.954,21337.21757,-21583.0024,706,113,98,823,-75294.72357,42920.21997,823,690,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CEREALS,2015,Hyper+Super Markets,FOOD - AMBIENT,>1,43390823.49,17576058.35,22223031.44,10093192.08,70298,17965,23128,70918,3009948.752,12129839.36,70918,31637,-2.593462195,-1.657771826,0.377610485,0.216620308,0.217210222
CHAMPAGNE,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,,26100441.05,24179330.05,550484.5452,550484.5452,0,0,0,0,0,0,187407,1891,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,0-1,401985.585,335195.805,97107.57868,31613.85849,538,44,25,552,-18072.93245,65493.72019,552,392,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,<0,2419.044,3081.993,139.5702247,-113.602996,11,1,2,13,-423.5777147,253.1732207,13,12,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,>1,5656462.139,1359181.232,2855190.753,1467599.152,1971,277,308,2017,813807.128,1387591.601,2017,1086,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2014,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,,27381737.23,25202801.68,621843.0557,621843.0557,0,0,0,0,0,0,188754,2111,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2014,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,0-1,460944.032,378301.052,123522.5318,40933.07209,664,51,25,688,-21189.85161,82589.45975,688,453,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2014,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,<0,5309.809,7991.902,-113.2452119,-580.133489,7,2,1,10,-1337.088511,466.8882771,10,10,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2014,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,>1,6848958.515,1443289.913,3692071.42,1882348.789,2183,310,295,2235,1013800.552,1809722.631,2235,1200,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2015,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,,31678623.33,27914712.4,1059521.362,1059521.362,0,0,0,0,0,0,215339,2847,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2015,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,0-1,457883.856,390848.143,117220.6621,37123.27033,812,50,61,839,-24412.48629,80097.39178,839,523,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2015,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,<0,3733.214,6410.192,90.66758256,-565.2190502,16,1,0,17,-1503.715208,655.8866328,17,17,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHAMPAGNE,2015,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,>1,8136382.49,1564535.356,4628934.997,2325834.424,2703,462,677,2804,1185651.064,2303100.573,2804,1540,-3.392655355,-2.201786471,0.510869809,0.419640295,0.470399198
CHARCUTERIE,2013,Hyper+Super Markets,FOOD - PERISHABLE,,595849990.4,584271513.8,4556516.914,4556516.914,0,0,0,0,0,0,1786459,57053,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2013,Hyper+Super Markets,FOOD - PERISHABLE,0-1,92491724.83,69497722.58,38109322,13021399.36,140104,12778,19171,141208,-5555823.605,25087922.64,141208,61335,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2013,Hyper+Super Markets,FOOD - PERISHABLE,<0,654452.87,1040257.37,29839.08271,-75206.57987,1165,163,195,1400,-217855.5324,105045.6626,1400,1295,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2013,Hyper+Super Markets,FOOD - PERISHABLE,>1,257587925.4,72453037.52,153850672.2,71785757.86,174577,40098,48797,176026,25613722.46,82064914.33,176026,84019,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2014,Hyper+Super Markets,FOOD - PERISHABLE,,624268616.4,613039073.7,4598192.533,4598192.533,0,0,0,0,0,0,1894969,63082,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2014,Hyper+Super Markets,FOOD - PERISHABLE,0-1,102199529,77867066.32,40124105.42,13647127.46,166286,15668,19316,167576,-6006286.768,26476977.96,167576,69761,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2014,Hyper+Super Markets,FOOD - PERISHABLE,<0,758660.025,1563479.652,-44200.12825,-177026.4584,1500,253,226,1778,-398366.0178,132826.3302,1778,1568,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2014,Hyper+Super Markets,FOOD - PERISHABLE,>1,267836811.7,76397228.07,159348150.2,74296872.5,195124,46296,51505,196693,26394031.04,85051277.71,196693,90769,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2015,Hyper+Super Markets,FOOD - PERISHABLE,,745338781.9,729053578.2,6240844.181,6240844.181,0,0,0,0,0,0,2123511,74789,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2015,Hyper+Super Markets,FOOD - PERISHABLE,0-1,117062199.2,90112219.75,44608732.53,15105667.72,186174,17324,20195,187535,-6844563.23,29503064.81,187535,76267,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2015,Hyper+Super Markets,FOOD - PERISHABLE,<0,585169.52,858065.341,55372.06097,-49630.34266,1223,237,184,1501,-179447.9176,105002.4036,1501,1441,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHARCUTERIE,2015,Hyper+Super Markets,FOOD - PERISHABLE,>1,277863470.6,80674796.98,162909562.2,76132174.82,200078,48654,49183,201894,27420874.79,86777387.43,201894,92604,-2.77432218,-2.057922511,0.615025565,0.412695087,0.377450979
CHEESE FRESH,2013,Hyper+Super Markets,FOOD - PERISHABLE,,1319908618,1288913413,12329881.34,12329881.34,0,0,0,0,0,0,4449443,111030,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2013,Hyper+Super Markets,FOOD - PERISHABLE,0-1,199553715.3,150131842.8,79005485.43,27424109.63,329382,24146,36063,331413,-10445211.36,51581375.8,331413,121740,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2013,Hyper+Super Markets,FOOD - PERISHABLE,<0,1234695.709,1784150.381,118298.0801,-98122.8707,1855,269,293,2206,-363605.2568,216420.9508,2206,1966,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2013,Hyper+Super Markets,FOOD - PERISHABLE,>1,598222373.5,203122283.6,326457134.4,151791352.4,414235,90830,114045,417053,53021246.65,174665782,417053,178254,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2014,Hyper+Super Markets,FOOD - PERISHABLE,,1344677074,1312519840,12939602.39,12939602.39,0,0,0,0,0,0,4571584,114895,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2014,Hyper+Super Markets,FOOD - PERISHABLE,0-1,214930912.3,170849997.2,73451885.95,24612704.23,373404,24044,31806,375053,-11920125.38,48839181.72,375053,126373,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2014,Hyper+Super Markets,FOOD - PERISHABLE,<0,1198258.406,1648378.374,116088.6111,-78245.67656,1965,324,319,2364,-311702.8025,194334.2877,2364,2127,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2014,Hyper+Super Markets,FOOD - PERISHABLE,>1,591369398.9,205783629.5,311592989.7,146036343.7,418889,89879,106531,421338,53497869.42,165556646.1,421338,174315,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2015,Hyper+Super Markets,FOOD - PERISHABLE,,1385819051,1351903990,13651915.59,13651915.59,0,0,0,0,0,0,4814745,128755,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2015,Hyper+Super Markets,FOOD - PERISHABLE,0-1,232810764.2,184279189.7,80834004.2,27150542.74,408011,26244,35746,409863,-12957647.35,53683461.46,409863,138479,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2015,Hyper+Super Markets,FOOD - PERISHABLE,<0,1287959.086,1753493.26,132631.0776,-79753.86583,2136,391,330,2604,-332015.7422,212384.9434,2604,2444,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEESE FRESH,2015,Hyper+Super Markets,FOOD - PERISHABLE,>1,571953374.8,200347079.8,303506462.1,141573353.5,416043,88404,102847,418813,50426921.6,161933108.6,418813,176466,-2.894284714,-2.290628828,0.628009656,0.467998859,0.324259677
CHEWING GUM,2013,Hyper+Super Markets,CONFECTIONERY & SNACKS,,167343454.8,167942743,87105.62546,87105.62546,0,0,0,0,0,0,973886,7215,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2013,Hyper+Super Markets,CONFECTIONERY & SNACKS,0-1,4523357.236,4073232.528,1108004.352,306488.3307,11990,1535,246,12080,-341783.5249,801516.021,12080,4351,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2013,Hyper+Super Markets,CONFECTIONERY & SNACKS,<0,33928.624,40073.719,4193.006138,-783.1036151,95,30,9,132,-6150.765176,4976.109754,132,125,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2013,Hyper+Super Markets,CONFECTIONERY & SNACKS,>1,888616.049,505441.868,336543.0406,147461.4346,3572,431,107,3604,32110.54586,189081.606,3604,1997,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2014,Hyper+Super Markets,CONFECTIONERY & SNACKS,,158621804.6,159372849.7,64623.73848,64623.73848,0,0,0,0,0,0,960685,6777,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2014,Hyper+Super Markets,CONFECTIONERY & SNACKS,0-1,5186839.012,4709859.075,1391982.949,376700.94,13318,1458,344,13414,-450230.5995,1015282.009,13414,4555,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2014,Hyper+Super Markets,CONFECTIONERY & SNACKS,<0,61962.728,71213.834,6681.650765,-914.5446658,105,51,3,154,-8968.01243,7596.195431,154,146,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2014,Hyper+Super Markets,CONFECTIONERY & SNACKS,>1,684966.068,365064.911,274990.6225,122231.7197,3346,406,123,3378,30588.67679,152758.9028,3378,1878,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2015,Hyper+Super Markets,CONFECTIONERY & SNACKS,,146332505.2,147092262.2,47732.88979,47732.88979,0,0,0,0,0,0,890596,6918,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2015,Hyper+Super Markets,CONFECTIONERY & SNACKS,0-1,5843930.831,5205410.267,1598539.628,448945.3184,13811,1995,400,13934,-476176.3325,1149594.31,13934,4628,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2015,Hyper+Super Markets,CONFECTIONERY & SNACKS,<0,37748.041,43697.62,4920.379336,-590.4342725,113,18,3,132,-6396.465017,5510.813608,132,129,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHEWING GUM,2015,Hyper+Super Markets,CONFECTIONERY & SNACKS,>1,921408.111,519911.974,344540.875,152982.3736,3945,560,166,4007,37915.05889,191558.5015,4007,2075,-0.930875421,-0.664221455,0.356897096,0.103328614,0.19198723
CHILLED DESSERTS,2013,Hyper+Super Markets,FOOD - PERISHABLE,,114465499.4,113490455.2,575505.2849,575505.2849,0,0,0,0,0,0,990967,19520,-1.992858619,-1.390316166,0.430158502,0.280729185,0.25306634
